name, raw_price, raw_rating, is_in_stock, url, product_code, retailer, category
"Laptop Lenovo ThinkBook 16p G5 IRX (Procesor Intel® Core™ i7-14650HX (30M Cache, up to 5.20 GHz), 16"" WQXGA IPS, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 4060 @8GB, DLSS 3.0, Gri)",9899.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-lenovo-thinkbook-16p-g5-irx-procesor-intel-core-i7-14650hx-30m-cache-up-to-5.20-ghz-16-wqxga-ips-32gb-ddr5-1tb-ssd-nvidia-geforce-rtx-4060-8gb-dlss-3.0-gri-4160022.html,21N5001CRM,evomag,Laptopuri / Notebook
"Laptop Dell Latitude 5450 (Procesor Intel® Core™ Ultra 7 155U (12M Cache, up to 4.80 GHz), 14"" FHD, 16GB DDR5, 512GB SSD, FGP, Intel Graphics, Windows 11 Pro, Gri)",6644.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/dell-laptop-dell-latitude-5450-procesor-intel-core-ultra-7-155u-12m-cache-up-to-4.80-ghz-14-fhd-16gb-ddr5-512gb-ssd-fgp-intel-graphics-windows-11-pro-gri-4168134.html,N012L545014EMEA_VP,evomag,Laptopuri / Notebook
"Laptop ASUS ProArt Studiobook Pro 16 OLED W7604J3D cu procesor Intel® Core™ i9-13980HX pana la 5.6 GHz, 16"", 3.2K, OLED, Touch, 64GB, 2TB M.2 SSD, NVIDIA RTX™ 3000 Ada Generation 8GB GDDR6, Windows 11 Pro, Mineral Black",16899.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-proart-studiobook-pro-16-oled-w7604j3d-cu-procesor-intel-core-i9-13980hx-pana-la-5.6-ghz-16-3.2k-oled-touch-64gb-2tb-m.2-ssd-nvidia-rtx-3000-ada-generation-8gb-gddr6-windows-11-pro-mineral-black-4124033.html,W7604J3D-MY090X,evomag,Laptopuri / Notebook
"Nou! Laptop Lenovo IdeaPad Slim 5 16AHP9 (Procesor AMD Ryzen™ 5 8645HS (16M Cache, up to 5.0 GHz) 16"" 2K OLED 120Hz, 16GB DDR5, 1TB SSD, AMD Radeon 760M Graphics, Gri)",3864.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-lenovo-ideapad-slim-5-16ahp9-procesor-amd-ryzen-5-8645hs-16m-cache-up-to-5.0-ghz-16-2k-oled-120hz-16gb-ddr5-1tb-ssd-amd-radeon-760m-graphics-gri-4176059.html,83DD002ERM,evomag,Laptopuri / Notebook
"Laptop Dell Latitude 7450 (Procesor Intel® Core™ Ultra 7 165U (12M Cache, up to 4.90 GHz), 14"" FHD+, 32GB DDR5, 512GB SSD, FGP, Intel Graphics, Win 11 Pro, Gri)",8599.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/dell-laptop-dell-latitude-7450-procesor-intel-core-ultra-7-165u-12m-cache-up-to-4.90-ghz-14-fhd-32gb-ddr5-512gb-ssd-fgp-intel-graphics-win-11-pro-gri-4168497.html,N008L745014EMEA_VP,evomag,Laptopuri / Notebook
"Nou! Laptop Dell Precision 3591 (Procesor Intel® Core™ Ultra  7 155H (24M Cache, up to 4.80 GHz), 15.6"" FHD, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 1000 Ada @6GB, Win 11 Pro, Gri)",10699.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/dell-laptop-dell-precision-3591-procesor-intel-core-ultra-7-155h-24m-cache-up-to-4.80-ghz-15.6-fhd-32gb-ddr5-1tb-ssd-nvidia-geforce-rtx-1000-ada-6gb-win-11-pro-gri-4179898.html,N104P3591EMEA_VP,evomag,Laptopuri / Notebook
"Laptop Gaming Acer Predator Helios 16 PH16 (Procesor Intel® Core™ i9-14900HX (36M Cache, up to 5.80 GHz), 16"" WQXGA, 32GB DDR5, 2x1TB SSD, NVIDIA GeForce RTX 4080 @12GB, DLSS 3.0, Negru)",15099.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/acer-laptop-gaming-acer-predator-helios-16-ph16-procesor-intel-core-i9-14900hx-36m-cache-up-to-5.80-ghz-16-wqxga-32gb-ddr5-2x1tb-ssd-nvidia-geforce-rtx-4080-12gb-dlss-3.0-negru-4147901.html,NH.QRAEX.001,evomag,Laptopuri / Notebook
"Laptop HP EliteBook 840 G10 (Procesor Intel Core i7-1360P (18M Cache, up to 5.0 GHz), 14"" WUXGA, 16GB, 512GB SSD, Intel Iris Xe Graphics, Win 11 Pro, Argintiu)",5750.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/hp-laptop-hp-elitebook-840-g10-procesor-intel-core-i7-1360p-18m-cache-up-to-5.0-ghz-14-wuxga-16gb-512gb-ssd-intel-iris-xe-graphics-win-11-pro-argintiu-4152474.html,7L830ET#ABB,evomag,Laptopuri / Notebook
"Laptop ASUS Vivobook X1504ZA (Procesor Intel Core i7-1255U (12M Cache, up to 4.70 GHz) 15.6"" FHD, 16GB, 512GB SSD, Intel Iris Xe Graphics, Albastru)",2635.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-vivobook-x1504za-procesor-intel-core-i7-1255u-12m-cache-up-to-4.70-ghz-15.6-fhd-16gb-512gb-ssd-intel-iris-xe-graphics-albastru-4154731.html,X1504ZA-BQ471,evomag,Laptopuri / Notebook
"Laptop HP ProBook 450 G9 (Procesor Intel® Core™ i5-1235U (12M Cache, up to 4.40 GHz, with IPU) 15.6"" FHD, 16GB, 512GB SSD, Intel Iris Xe Graphics, Win 11 Pro, Argintiu)",4020.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/hp-laptop-hp-probook-450-g9-procesor-intel-core-i5-1235u-12m-cache-up-to-4.40-ghz-with-ipu-15.6-fhd-16gb-512gb-ssd-intel-iris-xe-graphics-win-11-pro-argintiu-4168982.html,6F242EA,evomag,Laptopuri / Notebook
