Memorie laptop G.Skill DDR3 SO-DIMM 8GB 1866-11 RSL,80.99,-1,1,https://www.vexio.ro/memorii-laptop/g-skill/485827-g-skill-ddr3-so-dimm-8gb-1866-11-rsl/,F3-1866C11S-8GRSL,vexio,/images/F3-1866C11S-8GRSL.jpeg,Laptop & Accesorii
Memorie laptop Mushkin DDR3 SO-DIMM 8GB 1333-9 Essent Dual,91.99,-1,1,https://www.vexio.ro/memorii-laptop/mushkin/485848-mushkin-ddr3-so-dimm-8gb-1333-9-essent-dual/,996647,vexio,/images/996647.jpeg,Laptop & Accesorii
Accesoriu montare docking station Dell Mounting Kit,174.99,-1,1,https://www.vexio.ro/statii-andocare/dell/510775-mounting-kit/,MK15,vexio,/images/MK15.jpeg,Laptop & Accesorii
"Case Logic Husa Deco 14"" Negru",92.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/case-logic/529147-husa-deco-14-negru/,DECOS-114 BLACK,vexio,/images/DECOS-114 BLACK.jpeg,Laptop & Accesorii
"Spacer Geanta KOOL pentru Laptop de 15.6"" Negru",36.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/spacer/529315-geanta-kool-pentru-laptop-de-15-6-negru/,SPM0314,vexio,/images/SPM0314.jpeg,Laptop & Accesorii
Memorie laptop GOODRAM 8GB DDR3 SO-DIMM memory module 1333 MHz,76.99,-1,1,https://www.vexio.ro/memorii-laptop/goodram/530557-8gb-ddr3-so-dimm-memory-module-1333-mhz/,GR1333S364L9/8G,vexio,/images/GR1333S364L9/8G.jpeg,Laptop & Accesorii
Memorie laptop Kingston 8GB DDR4 3200MHz Single Rank SODIMM,91.99,-1,1,https://www.vexio.ro/memorii-laptop/kingston/541546-8gb-ddr4-3200mhz-single-rank-sodimm/,KCP432SS6/8,vexio,/images/KCP432SS6/8.jpeg,Laptop & Accesorii
Asus AS GEANTA EOS 2 15” GRAY,116.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/asus/549907-as-geanta-eos-2-15-gray/,90XB01DN-BBA010,vexio,/images/90XB01DN-BBA010.jpeg,Laptop & Accesorii
Dell DA310 USB-C Mobile Adapter,398.99,-1,1,https://www.vexio.ro/statii-andocare/dell/592822-da310-usb-c-mobile-adapter/,470-AEUP,vexio,/images/470-AEUP.jpeg,Laptop & Accesorii
"Dell Husa laptop Essential Sleeve 15"" Negru",94.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/dell/598537-husa-laptop-essential-sleeve-15-negru/,460-BCQO,vexio,/images/460-BCQO.jpeg,Laptop & Accesorii
"Case Logic Advantage Attaché pentru Laptop de 15.6inch, Dark Blue",115.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/case-logic/613747-advantage-attach-pentru-laptop-de-15-6inch-dark-blue/,ADVA116 DARK BLUE,vexio,/images/ADVA116 DARK BLUE.jpeg,Laptop & Accesorii
"Tucano Geanta Slim Laptop 13.3"" si 14"" Black",228.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/tucano/618238-geanta-slim-laptop-13-3-si-14-black/,BDA1314-BK,vexio,/images/BDA1314-BK.jpeg,Laptop & Accesorii
Green Cell Lenovo LE07,115.99,-1,1,https://www.vexio.ro/baterii-laptop/green-cell/912010-lenovo-le07/,LE07,vexio,/images/LE07.jpeg,Laptop & Accesorii
"Green Cell Baterie laptop Acer Aspire V5-171 11,1V 4,4Ah",127.99,-1,1,https://www.vexio.ro/baterii-laptop/green-cell/1672031-baterie-laptop-acer-aspire-v5-171-11-1v-4-4ah/,AC32,vexio,/images/AC32.jpeg,Laptop & Accesorii
SATECHI Slim Aluminum Type-C Multi-Port Adapter 4K,436.99,-1,1,https://www.vexio.ro/statii-andocare/satechi/1804012-slim-aluminum-type-c-multi-port-adapter-4k/,ST-CMAS,vexio,/images/ST-CMAS.jpeg,Laptop & Accesorii
SATECHI TYPE-C ALUMINUM STAND & HUB FOR MAC MINI,283.99,-1,1,https://www.vexio.ro/statii-andocare/satechi/1804048-type-c-aluminum-stand-hub-for-mac-mini/,ST-ABHFS,vexio,/images/ST-ABHFS.jpeg,Laptop & Accesorii
